# script: Stepped_tone_log.py
# csv_file: data/stepped_tone_2026-07-20_14-31-07.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# tones: [100, 107, 115, 123, 143, 238, 241, 292, 306, 333, 495]
# dwell_s: 4.0
# notes_source: Notes/Baseplate/Baseplate_design.md, Notes/Coldplate/Coldplate.md
# run_timestamp_local: 2026-07-20T14:31:09.379516+02:00
wall_clock,t_rel_s,f_scheduled_hz,tone_index,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:31:11.807076+02:00,2.314,100.0,0,2850,156.0,42.86,369.0,213.0,119.0,32.25,363.0,244.0
2026-07-20T14:31:11.829873+02:00,2.337,100.0,0,2872,155.0,42.58,369.0,214.0,117.0,31.82,362.0,245.0
2026-07-20T14:31:11.851181+02:00,2.358,100.0,0,2894,158.0,42.78,369.0,211.0,117.0,31.91,361.0,244.0
2026-07-20T14:31:11.873539+02:00,2.381,100.0,0,2916,157.0,43.32,370.0,213.0,117.0,32.46,362.0,245.0
2026-07-20T14:31:11.895247+02:00,2.402,100.0,0,2938,156.0,42.4,369.0,213.0,117.0,31.84,362.0,245.0
2026-07-20T14:31:11.917625+02:00,2.425,100.0,0,2960,156.0,41.86,368.0,212.0,117.0,31.3,361.0,244.0
2026-07-20T14:31:11.938999+02:00,2.446,100.0,0,2982,159.0,41.79,371.0,212.0,118.0,31.3,362.0,244.0
2026-07-20T14:31:11.961582+02:00,2.469,100.0,0,3004,156.0,41.7,369.0,213.0,117.0,31.29,362.0,245.0
2026-07-20T14:31:11.983141+02:00,2.490,100.0,0,3026,154.0,40.2,367.0,213.0,117.0,30.12,362.0,245.0
2026-07-20T14:31:12.005669+02:00,2.513,100.0,0,3048,157.0,41.51,369.0,212.0,117.0,31.05,361.0,244.0
2026-07-20T14:31:12.027177+02:00,2.534,100.0,0,3070,156.0,42.38,369.0,213.0,116.0,31.75,361.0,245.0
2026-07-20T14:31:12.049713+02:00,2.557,100.0,0,3092,155.0,42.03,368.0,213.0,118.0,31.5,362.0,244.0
2026-07-20T14:31:12.072404+02:00,2.579,100.0,0,3115,155.0,41.88,368.0,213.0,117.0,31.31,362.0,245.0
2026-07-20T14:31:12.094678+02:00,2.602,100.0,0,3137,157.0,41.91,369.0,212.0,117.0,31.34,361.0,244.0
2026-07-20T14:31:12.117174+02:00,2.624,100.0,0,3160,157.0,41.85,369.0,212.0,117.0,31.26,361.0,244.0
2026-07-20T14:31:12.138928+02:00,2.646,100.0,0,3182,154.0,41.38,368.0,214.0,117.0,31.06,362.0,245.0
2026-07-20T14:31:12.161338+02:00,2.668,100.0,0,3204,153.0,41.86,367.0,214.0,116.0,31.32,361.0,245.0
2026-07-20T14:31:12.182973+02:00,2.690,100.0,0,3226,156.0,41.12,368.0,212.0,116.0,30.62,361.0,245.0
2026-07-20T14:31:12.205380+02:00,2.712,100.0,0,3248,155.0,41.52,369.0,214.0,116.0,31.1,362.0,246.0
2026-07-20T14:31:12.227043+02:00,2.734,100.0,0,3270,157.0,42.6,369.0,212.0,118.0,31.96,362.0,244.0
2026-07-20T14:31:12.249414+02:00,2.756,100.0,0,3292,155.0,41.76,367.0,212.0,115.0,31.4,361.0,246.0
